alpha_true,gamma_true,phi_true,r_true,rep,seed,success,error,T,mu_true,mu_est,phi_est,alpha_est,gamma_est,r_est,gamma0_mu_est,gamma0_phi_est,gamma0_alpha_est,gamma0_r_est,joint_nll,gamma0_nll,bic_joint,bic_gamma0,delta_nll_gamma0,delta_bic_gamma0,joint_wins_nll,joint_wins_bic,q_center_true,q_dist_1_true,q_multiplier_1_true,q_center_est,q_dist_1_est,q_multiplier_1_est,log_r_est,log_q_center_est,log_q_dist_1_est,gamma_error,alpha_error,phi_error,r_error,abs_gamma_error,abs_alpha_error,abs_phi_error,abs_r_error,true_positive_coupling,true_ictal_scale_coupling,gamma_regime,alpha_regime,phi_regime,r_regime,mean_x,sd_x,mean_q,median_q,max_q,N_particles_fit,N_particles_eval,N_eval_repeats,runtime_sec
-5,-3.0,0.21,0.0009,10,1002789346,True,,60,-0.16,-0.16688561819082987,0.23215739368396837,-4.929764453767087,-4.92478120154254,0.0007560078548954651,-0.17566747452312131,0.4379340682724544,-5.952109681309487,0.003302410098404853,-67.78051562588317,-67.7341775425046,-115.08930844065583,-119.09097683612079,0.04633808337857204,-4.001668395464961,True,False,0.006737946999085467,0.0003354626279025118,0.04978706836786394,0.007228205657487794,5.2507966589878366e-05,0.007264315526977939,-7.1874587917653505,-4.929764453767087,-9.854545655309627,-1.9247812015425403,0.07023554623291339,0.02215739368396838,-0.00014399214510453485,1.9247812015425403,0.07023554623291339,0.02215739368396838,0.00014399214510453485,False,False,ictal_scale,low,low,low,-0.17488055169949254,0.07835186624112708,0.005588356886952199,0.005719510575151795,0.006737946999085467,1200,500,10,78.80071783065796
-5,-3.0,0.21,0.0009,11,500523252,True,,60,-0.16,-0.1721282710975614,0.2252883391472067,-5.473460994198405,4.857692895913911,0.0005566219143427219,-0.1712249796820544,0.39627933226459106,-5.445025381670631,0.0021772378076014135,-66.63506191492739,-65.82436740701363,-112.79840101874427,-115.27135656513884,0.810694507913766,-2.472955546394573,True,False,0.006737946999085467,0.0003354626279025118,0.04978706836786394,0.004196682300939265,0.5402257894065768,128.72687296002084,-7.493624337849613,-5.473460994198405,-0.6157680982844935,7.857692895913911,-0.4734609941984047,0.015288339147206703,-0.0003433780856572781,7.857692895913911,0.4734609941984047,0.015288339147206703,0.0003433780856572781,False,False,ictal_scale,low,low,low,-0.16990961398689194,0.07435934457058638,0.005634171325854282,0.005593801645351615,0.006737946999085467,1200,500,10,83.41681432723999
-5,-3.0,0.21,0.0009,12,1111500274,True,,60,-0.16,-0.17092255706643453,0.16143595356218352,-4.930267957741284,-3.2983342142641243,0.0005539144386085299,-0.1686281199013503,0.43322633468712307,-6.246747496962833,0.004148560934090334,-66.30942314461188,-66.79334222490237,-112.14712347811326,-117.20930620091634,-0.4839190802904909,-5.062182722803087,False,False,0.006737946999085467,0.0003354626279025118,0.04978706836786394,0.007224567143292978,0.0002669091627137393,0.036944658056300046,-7.498500326089422,-4.930267957741284,-8.22860217200541,-0.2983342142641243,0.06973204225871577,-0.04856404643781648,-0.0003460855613914701,0.2983342142641243,0.06973204225871577,0.04856404643781648,0.0003460855613914701,False,False,ictal_scale,low,low,low,-0.17260918677737935,0.06864872173808279,0.00575853721676933,0.005987376404677301,0.006737946999085467,1200,500,10,88.48386025428772
-5,-3.0,0.21,0.0009,13,1538249467,True,,60,-0.16,-0.1491154515872373,0.3063952237819332,-5.043570500906077,-4.514994807963309,0.0005270170780382816,-0.1458328700523636,0.47563494863344696,-5.265893526517836,0.0005144515213606679,-70.6299546185506,-69.72800766178325,-120.78818642599069,-123.0786370746781,0.9019469567673468,-2.290450648687411,True,False,0.006737946999085467,0.0003354626279025118,0.04978706836786394,0.006450675010199412,7.059400663886378e-05,0.010943661946578438,-7.548277603803232,-5.043570500906077,-9.558565308869387,-1.5149948079633093,-0.04357050090607739,0.09639522378193319,-0.00037298292196171834,1.5149948079633093,0.04357050090607739,0.09639522378193319,0.00037298292196171834,False,False,ictal_scale,low,low,low,-0.1473608788382877,0.0784320426951298,0.005663786552793219,0.005708373046163865,0.006737946999085467,1200,500,10,87.24877452850342
-5,-3.0,0.21,0.0009,14,1120872316,True,,60,-0.16,-0.16590657765301858,0.23060182091165576,-5.548352556114074,2.809824827193008,0.0005251124543359767,-0.17312953068246498,0.4328063401542298,-5.693258872237362,0.0018049332195699567,-71.77863808333818,-71.30725210292636,-123.08555335556585,-126.2371259569643,0.47138598041182433,-3.151572601398456,True,False,0.006737946999085467,0.0003354626279025118,0.04978706836786394,0.0038938668894600496,0.06466548196257725,16.607008867615455,-7.55189811957473,-5.548352556114074,-2.738527728921066,5.809824827193008,-0.5483525561140743,0.02060182091165577,-0.00037488754566402326,5.809824827193008,0.5483525561140743,0.02060182091165577,0.00037488754566402326,False,False,ictal_scale,low,low,low,-0.16777705114675232,0.06757894120413722,0.005740569569178826,0.005770572834828317,0.006737946999085467,1200,500,10,77.41555428504944
-5,-3.0,0.21,0.0009,15,618606222,True,,60,-0.16,-0.14745160975695526,0.16993961224541082,-4.585522928470175,-4.9487603262294995,0.0010442134563660016,-0.14206871853274858,0.42480286844499643,-5.882004852841201,0.005835475765011565,-56.93215402112137,-56.447018308685486,-93.39258523113224,-96.51665836848257,0.48513571243588416,-3.1240731373503223,True,False,0.006737946999085467,0.0003354626279025118,0.04978706836786394,0.010198415351368159,7.232915536437042e-05,0.007092195490416764,-6.864491350300121,-4.585522928470175,-9.534283254699673,-1.9487603262294995,0.4144770715298254,-0.04006038775458917,0.00014421345636600165,1.9487603262294995,0.4144770715298254,0.04006038775458917,0.00014421345636600165,False,False,ictal_scale,low,low,low,-0.14584145464619497,0.08667375461958507,0.005650679607850556,0.005759813649619667,0.006737946999085467,1200,500,10,100.93819975852966
-5,-3.0,0.21,0.0009,16,2031143519,True,,60,-0.16,-0.17499445243347317,0.21028863271997622,-4.815547407210311,-1.886896539121052,0.0007350704526673859,-0.17262198756525615,0.4237627611001618,-5.279520656107941,0.0025230781218432037,-59.65975200797136,-59.636693559325934,-98.84778120483222,-102.89600886976346,0.023058448645429053,-4.048227664931247,True,False,0.006737946999085467,0.0003354626279025118,0.04978706836786394,0.008102785340543464,0.001227907293092505,0.15154138255995656,-7.215544209375903,-4.815547407210311,-6.702443946331363,1.113103460878948,0.18445259278968873,0.0002886327199762284,-0.0001649295473326141,1.113103460878948,0.18445259278968873,0.0002886327199762284,0.0001649295473326141,False,False,ictal_scale,low,low,low,-0.1718482357929151,0.08525143999816558,0.005513426660095942,0.0055366450789589355,0.006737946999085467,1200,500,10,67.64502477645874
-5,-3.0,0.21,0.0009,17,727317150,True,,60,-0.16,-0.15709749353967536,0.2635620148101063,-5.0739863575596775,-4.999996197468365,0.0006511746066229788,-0.1652841150304063,0.4470248673498689,-5.469331383564731,0.0010329030673078363,-70.7519289773625,-69.08242116555124,-121.03213514361448,-121.78746408221407,1.6695078118112576,-0.7553289385995896,True,False,0.006737946999085467,0.0003354626279025118,0.04978706836786394,0.0062574260186322485,4.216236518766511e-05,0.006737972620390801,-7.336732738779841,-5.0739863575596775,-10.073982555028042,-1.9999961974683647,-0.07398635755967753,0.053562014810106334,-0.0002488253933770212,1.9999961974683647,0.07398635755967753,0.053562014810106334,0.0002488253933770212,False,False,ictal_scale,low,low,low,-0.16586518375722994,0.06708142528249833,0.005779191905641661,0.005791554958321903,0.006737946999085467,1200,500,10,75.14523839950562
-5,-3.0,0.21,0.0009,18,2021771477,True,,60,-0.16,-0.1598291089952134,0.3465460666089639,-4.982834340855789,-4.805330643100405,0.0005902430951767845,-0.14809675231765618,0.4509328558843764,-5.3844970186592676,0.000794291008938426,-68.18547535887076,-67.50462347832806,-115.89922790663101,-118.63186870776771,0.6808518805427042,-2.7326408011366965,True,False,0.006737946999085467,0.0003354626279025118,0.04978706836786394,0.006854606706425935,5.6111768853278934e-05,0.008185993924447367,-7.4349760802004345,-4.982834340855789,-9.788164983956193,-1.8053306431004046,0.017165659144210643,0.13654606660896393,-0.0003097569048232155,1.8053306431004046,0.017165659144210643,0.13654606660896393,0.0003097569048232155,False,False,ictal_scale,low,low,low,-0.14840571038682335,0.07445489876332796,0.005747060800331561,0.005928923446956193,0.006737946999085467,1200,500,10,65.65381407737732
-5,-3.0,0.21,0.0009,19,736689192,True,,60,-0.16,-0.16731627454134834,0.263394794483875,-4.668100776210104,-4.9999999782912,0.0006717833318297812,-0.16896418616377779,0.44804653353156426,-5.012708740780971,0.0013863227158087078,-62.181233644088444,-58.93701168743566,-103.89074447706639,-101.49664512598291,3.244221956652787,2.394099351083483,True,True,0.006737946999085467,0.0003354626279025118,0.04978706836786394,0.00939008647809019,6.326990637971462e-05,0.006737947145358213,-7.305574692302903,-4.668100776210104,-9.668100754501303,-1.9999999782912,0.3318992237898959,0.05339479448387499,-0.00022821666817021875,1.9999999782912,0.3318992237898959,0.05339479448387499,0.00022821666817021875,False,False,ictal_scale,low,low,low,-0.1664596745615804,0.0880295302396049,0.005600729814752539,0.005777688990003673,0.006737946999085467,1200,500,10,61.342288970947266
