alpha_true,gamma_true,phi_true,r_true,rep,seed,success,error,T,mu_true,mu_est,phi_est,alpha_est,gamma_est,r_est,gamma0_mu_est,gamma0_phi_est,gamma0_alpha_est,gamma0_r_est,joint_nll,gamma0_nll,bic_joint,bic_gamma0,delta_nll_gamma0,delta_bic_gamma0,joint_wins_nll,joint_wins_bic,q_center_true,q_dist_1_true,q_multiplier_1_true,q_center_est,q_dist_1_est,q_multiplier_1_est,log_r_est,log_q_center_est,log_q_dist_1_est,gamma_error,alpha_error,phi_error,r_error,abs_gamma_error,abs_alpha_error,abs_phi_error,abs_r_error,true_positive_coupling,true_ictal_scale_coupling,gamma_regime,alpha_regime,phi_regime,r_regime,mean_x,sd_x,mean_q,median_q,max_q,N_particles_fit,N_particles_eval,N_eval_repeats,runtime_sec
-7.7,-2.5,0.22,0.004,0,745194675,True,,60,-0.11,-0.11047066695391415,-0.021000627833361422,-5.848095525837614,-0.528475083172768,0.0004272105200478254,-0.11106125944489446,0.29236198536791963,-9.744955481263156,0.0033175623757145598,-85.74724476265784,-85.732736804035,-151.02276671420518,-155.0880953591816,0.014507958622843375,-4.065328644976432,True,False,0.00045282718288679695,3.7170318684126734e-05,0.0820849986238988,0.002885389077670759,0.0017009461753568116,0.5895032280117687,-7.758233645041378,-5.848095525837614,-6.376570609010383,1.971524916827232,1.851904474162386,-0.24100062783336143,-0.0035727894799521746,1.971524916827232,1.851904474162386,0.24100062783336143,0.0035727894799521746,False,False,ictal_scale,low,low,low,-0.11487125347001388,0.024147410782051165,0.0004323735390112224,0.00043653497065836936,0.00045282718288679695,1200,500,10,96.88586187362671
-7.7,-2.5,0.22,0.004,1,900022882,True,,60,-0.11,-0.1042992338078061,0.25732575020975,-5.161910085842793,-4.999999890740393,0.0004194787625178433,-0.10221236523774802,0.4679944396269533,-5.589705939828619,0.0010553805789010893,-73.39140021736708,-72.8841127678829,-126.31107762362365,-129.3908472868774,0.5072874494841813,-3.0797696632537566,True,False,0.00045282718288679695,3.7170318684126734e-05,0.0820849986238988,0.005730743013794186,3.861344691121437e-05,0.006737947735270947,-7.776497659040937,-5.161910085842793,-10.161909976583186,-2.4999998907403933,2.538089914157207,0.037325750209750014,-0.003580521237482157,2.4999998907403933,2.538089914157207,0.037325750209750014,0.003580521237482157,False,False,ictal_scale,low,low,low,-0.10454532863480528,0.02425907107660085,0.0004316343756291357,0.0004338559691154736,0.00045282718288679695,1200,500,10,96.99151492118835
-7.7,-2.5,0.22,0.004,2,636483747,True,,60,-0.11,-0.10703694508634885,0.1952038665991381,-5.620492936459187,-1.0311761318110533,0.00045486201553780335,-0.10621971342384517,0.43951346343298114,-6.718642299464088,0.002578428772788808,-80.69341553581961,-80.47917727074676,-140.9151082605287,-144.58097629260513,0.2142382650728507,-3.6658680320764176,True,False,0.00045282718288679695,3.7170318684126734e-05,0.0820849986238988,0.003622854831508491,0.0012918640956624508,0.3565873201506508,-7.69551644756099,-5.620492936459187,-6.65166906827024,1.4688238681889467,2.079507063540813,-0.024796133400861897,-0.003545137984462197,1.4688238681889467,2.079507063540813,0.024796133400861897,0.003545137984462197,False,False,ictal_scale,low,low,low,-0.10925897070521802,0.02053829762672068,0.00043565093647325126,0.00043913096789884194,0.00045282718288679695,1200,500,10,118.90698480606079
-7.7,-2.5,0.22,0.004,3,909394924,True,,60,-0.11,-0.1175023227486797,-0.062320936102563354,-5.748486315648117,-2.198377392547682,0.0003692822771160027,-0.11787809344085534,-0.04621589567820461,-12.515147200586572,0.0032430493114563403,-86.57370572060393,-86.71066634849379,-152.67568863009734,-157.04395444809919,-0.13696062788986296,-4.368265818001845,False,False,0.00045282718288679695,3.7170318684126734e-05,0.0820849986238988,0.0031876021700951154,0.00035376995234956,0.11098309433608015,-7.903949227736614,-5.748486315648117,-7.946863708195799,0.30162260745231784,1.951513684351883,-0.28232093610256337,-0.0036307177228839973,0.30162260745231784,1.951513684351883,0.28232093610256337,0.0036307177228839973,False,False,ictal_scale,low,low,low,-0.11103141143200759,0.021686413342537757,0.00043401256767114745,0.00043543760879268954,0.00045282718288679695,1200,500,10,102.532790184021
-7.7,-2.5,0.22,0.004,4,407128830,True,,60,-0.11,-0.10544816757332053,-0.02649012562748014,-5.680366713346017,1.16140420766859,0.000465817757171566,-0.10552526145636396,0.10326286688702799,-9.593808485948358,0.004058470846625401,-79.2147977803157,-79.50195943849907,-137.9578727495209,-142.62654062810975,-0.2871616581833649,-4.668667878588849,False,False,0.00045282718288679695,3.7170318684126734e-05,0.0820849986238988,0.0034123068754541865,0.01090032683125861,3.194415751311274,-7.67171607936095,-5.680366713346017,-4.518962505677427,3.66140420766859,2.019633286653983,-0.24649012562748013,-0.003534182242828434,3.66140420766859,2.019633286653983,0.24649012562748013,0.003534182242828434,False,False,ictal_scale,low,low,low,-0.10821449138293697,0.01994724520370219,0.00043460113504815317,0.0004335592613201396,0.00045282718288679695,1200,500,10,76.14784049987793
-7.7,-2.5,0.22,0.004,5,1018105852,True,,60,-0.11,-0.10216967892626455,0.19220401842198123,-5.637355173565778,-0.044242657828202914,0.0004998410823799024,-0.1091270921442467,0.4479573794153819,-6.368622978837994,0.001909723850758034,-81.07366450505808,-80.55854162886067,-141.67560619900564,-144.73970500883294,0.5151228761974096,-3.0640988098273,True,False,0.00045282718288679695,3.7170318684126734e-05,0.0820849986238988,0.0035622775638089643,0.0034081085077480224,0.9567217732758319,-7.601220345302603,-5.637355173565778,-5.681597831393981,2.455757342171797,2.062644826434222,-0.02779598157801877,-0.0035001589176200977,2.455757342171797,2.062644826434222,0.02779598157801877,0.0035001589176200977,False,False,ictal_scale,low,low,low,-0.1157555175643122,0.02199243717537018,0.00043356950985427915,0.0004372228815062654,0.00045282718288679695,1200,500,10,94.5103874206543
-7.7,-2.5,0.22,0.004,6,515839758,True,,60,-0.11,-0.10115527144457236,-0.004747759256494255,-5.296622291710102,-1.0458447078546032,0.0005291992214313333,-0.09911544085248258,0.17871189116316186,-9.798218046803353,0.005100448741346651,-72.75733666900766,-72.90116710093838,-125.0429505269048,-129.42495595298837,-0.14383043193072353,-4.382005426083566,False,False,0.00045282718288679695,3.7170318684126734e-05,0.0820849986238988,0.005008482561446847,0.0017599550684201204,0.3513948679720881,-7.544145596942747,-5.296622291710102,-6.342466999564705,1.4541552921453968,2.4033777082898986,-0.22474775925649426,-0.0034708007785686666,1.4541552921453968,2.4033777082898986,0.22474775925649426,0.0034708007785686666,False,False,ictal_scale,low,low,low,-0.1073671033435349,0.019589445288915857,0.00043594163874070575,0.00043747638845607537,0.00045282718288679695,1200,500,10,88.02783107757568
-7.7,-2.5,0.22,0.004,7,1120005757,True,,60,-0.11,-0.10289775474054869,-0.0812886280465115,-5.762304272840771,3.9861065026675004,0.0006359904509835188,-0.1031425593133547,0.2685934004353062,-11.354459317569859,0.004851167846147189,-74.94101550463337,-74.63209089899644,-129.41030819815623,-132.88680354910449,0.3089246056369319,-3.4764953509482552,True,False,0.00045282718288679695,3.7170318684126734e-05,0.0820849986238988,0.003143858936834598,0.16928056880527406,53.84483598227681,-7.360327008913723,-5.762304272840771,-1.7761977701732703,6.4861065026675,1.9376957271592294,-0.3012886280465115,-0.0033640095490164814,6.4861065026675,1.9376957271592294,0.3012886280465115,0.0033640095490164814,False,False,ictal_scale,low,low,low,-0.11204429644130581,0.018355909296349383,0.0004359977430891657,0.0004375159803546077,0.00045282718288679695,1200,500,10,112.44278621673584
-7.7,-2.5,0.22,0.004,8,525211800,True,,60,-0.11,-0.1095335382860392,-0.2155818499812706,-5.630327071131103,4.65344030395252,0.0004646856540426285,-0.10830625406750277,-0.8365513306929951,-21.583235012364838,0.00529934087638634,-72.89662706761375,-72.0997622429289,-125.32153132411699,-127.8221462369694,0.796864824684846,-2.500614912852413,True,False,0.00045282718288679695,3.7170318684126734e-05,0.0820849986238988,0.0035874017998645275,0.3764813503701101,104.94540934453656,-7.67414939378816,-5.630327071131103,-0.9768867671785832,7.15344030395252,2.069672928868897,-0.4355818499812706,-0.0035353143459573716,7.15344030395252,2.069672928868897,0.4355818499812706,0.0035353143459573716,False,False,ictal_scale,low,low,low,-0.1127748670516002,0.020870529449131033,0.00043474003437986986,0.00043807524699360386,0.00045282718288679695,1200,500,10,97.60501623153687
-7.7,-2.5,0.22,0.004,9,1136188822,True,,60,-0.11,-0.11514925031447666,-0.015450973097308768,-5.674835042569442,2.2002622462616235,0.0003682675393199911,-0.1138359850415104,0.30089993892488326,-8.45442589707571,0.003936665760479638,-79.10138923670073,-79.58101406456014,-137.73105566229094,-142.78464988023188,-0.47962482785941063,-5.05359421794094,False,False,0.00045282718288679695,3.7170318684126734e-05,0.0820849986238988,0.003431234937315613,0.03097506365861892,9.027380585851665,-7.906700874916672,-5.674835042569442,-3.4745727963078186,4.700262246261623,2.025164957430558,-0.23545097309730878,-0.003631732460680009,4.700262246261623,2.025164957430558,0.23545097309730878,0.003631732460680009,False,False,ictal_scale,low,low,low,-0.10436222584383795,0.021015888137100865,0.0004342447250404661,0.00043454265276659935,0.00045282718288679695,1200,500,10,78.05163598060608
